folder,filename,type,is_watercolor,confidence,processed_frames,planned_frames,total_frames,watercolor_frames_count,watercolor_frames_percent,avg_watercolor_confidence
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251018-140917000+1.mov,video,True,0.7550347810064106,1345,1345,38979,1243,0.9241635687732342,0.8007769844077426
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251021-203814000.mov,video,True,0.9871476233005524,10,10,266,10,1.0,0.9871476233005524
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251112-104830000.mov,video,True,0.6892035978181021,35,357,10351,29,0.8285714285714286,0.7452280603606125
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251018-191510000+2.mov,video,True,0.9873484873002575,31,31,913,31,1.0,0.9873484873002575
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251101-211015000.mov,video,True,0.9902769308537245,32,328,9507,32,1.0,0.9902769308537245
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251008-141404000.mov,video,True,0.5056732684373856,20,20,561,10,0.5,0.9718740463256836
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251103-180408000.mov,video,True,0.7667221734705179,92,929,26918,89,0.967391304347826,0.7766148548447684
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251018-140917000+3.mov,video,True,0.9061242891209466,35,35,1026,34,0.9714285714285714,0.9278666324475232
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251107-110954000.mov,video,True,0.5903456004766318,13,13,366,8,0.6153846153846154,0.8911377266049385
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251002-171325000.mov,video,True,0.5485146220992593,17,17,492,9,0.5294117647058824,0.8539591034253439
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251018-140917000+2.mov,video,True,0.9782665234345657,13,13,379,13,1.0,0.9782665234345657
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251006-131255000.mov,video,True,0.46932789543643594,16,16,448,8,0.5,0.8473590761423111
